set_id,time,channel,param_id,amplitude,duration,energy,rms,threshold,rise_time,signal_strength,counts,trai
16,9.9835894,3,4,0.09976159817060352,0.0032361000000000004,13949866.158729626,3.7211643922260393e-06,0.00017810493607935623,3.34e-05,7174.994251549456,111,1
17,9.9835902,1,2,0.09976159817060352,0.0065775,17906185.006688364,3.8109512006175523e-06,0.00017810493607935623,3.59e-05,8515.317518072892,223,2
18,9.983600599999999,5,6,0.0748466965568358,0.0043696,14548814.737237709,3.7311407042695407e-06,0.00017810493607935623,0.00010070000000000001,9151.407222976632,172,3
19,9.9836036,4,5,0.0559310389865616,0.003443,16405773.453909822,3.761069640400045e-06,0.00017810493607935623,0.000136,9987.144934707421,116,4
20,9.9836049,2,3,0.017399482216983266,0.0031703,2671578.027390151,3.7311407042695407e-06,0.00017810493607935623,0.00026869999999999997,5065.588964436329,124,5
21,9.983610299999999,7,8,0.05846104243753502,0.0036026000000000005,12468709.659027051,3.761069640400045e-06,0.00017810493607935623,0.0001708,9341.880238444435,142,6
22,9.9836174,8,9,0.018813665854741573,0.0037117,3283755.035295251,3.781022264487048e-06,0.00017810493607935623,0.0001985,5476.446575411489,140,7
23,9.9836186,6,7,0.017362947871120832,0.0030082000000000004,4140749.27621182,3.880785384922062e-06,0.00017810493607935623,0.00020720000000000002,6036.058026583759,106,8
55,21.785919099999997,3,4,0.09976159817060352,0.0026039,15631452.13648088,3.621401271791025e-06,0.00017810493607935623,3.35e-05,8100.141243292618,117,9
56,21.7859207,2,3,0.07043212976512525,0.0028043,10251981.9257117,3.7012117681390364e-06,0.00017810493607935623,6.57e-05,6177.752822791767,135,10
57,21.7859272,4,5,0.07016573349321169,0.0034292000000000003,14464448.318953412,3.6513302079215287e-06,0.00017810493607935623,8.92e-05,8471.836778559944,117,11
58,21.7859362,1,2,0.025898284423231523,0.0048754,4782643.402865067,3.7211643922260393e-06,0.00017810493607935623,0.00041180000000000003,6582.992365159542,176,12
59,21.7859367,6,7,0.031416492912869694,0.0030637000000000004,4740988.317509571,3.8009748885740504e-06,0.00017810493607935623,0.00019810000000000002,4912.631848067672,95,13
60,21.7859372,5,6,0.04050441144614966,0.0047404000000000005,10458546.288844692,3.6912354560955345e-06,0.00017810493607935623,0.000143,8953.714716863027,188,14
61,21.7859397,8,9,0.04836081807098349,0.0050555,12136590.174574655,3.771045952443546e-06,0.00017810493607935623,0.0001538,9197.356466270467,189,15
62,21.7859499,7,8,0.02967654469117137,0.0037148000000000003,4417939.335326819,3.6912354560955345e-06,0.00017810493607935623,0.000392,6133.4050015363455,155,16
84,31.894166,3,4,0.09976159817060352,0.0035401000000000005,25530008.951917768,3.631377583834526e-06,0.00017810493607935623,2.05e-05,10240.288962297547,132,17
85,31.8941742,1,2,0.08762915081545421,0.006585700000000001,24139662.541146796,3.6812591440520326e-06,0.00017810493607935623,8.39e-05,13234.862927330985,231,18
86,31.894176199999997,5,6,0.09017589917494792,0.0029406000000000002,40722823.28530711,3.66130651996503e-06,0.00017810493607935623,9.1e-05,16043.087386419105,124,19
87,31.8941768,4,5,0.07707985844767697,0.0040815,25247772.17788853,3.66130651996503e-06,0.00017810493607935623,0.0001156,12589.65668601693,140,20
88,31.894181099999997,2,3,0.022897901269279288,0.0032167000000000003,2672581.021076431,3.7111880801825374e-06,0.00017810493607935623,0.00011,4911.555302758198,125,21
89,31.894187199999998,7,8,0.04845824299328331,0.0034386000000000004,10918615.536888838,3.6812591440520326e-06,0.00017810493607935623,0.00017360000000000002,8633.644948445855,120,22
90,31.894190599999998,8,9,0.02434861925290003,0.00416,6945833.929296691,3.7411170163130417e-06,0.00017810493607935623,0.0004021,8016.129303564847,141,23
91,31.8941919,6,7,0.02206065584326522,0.0032942,4729202.408320287,3.8109512006175523e-06,0.00017810493607935623,0.00011280000000000002,6787.530493808076,116,24
94,32.4653552,2,3,0.0006256506728941489,0.0005399,1718.471552634391,4.0703353137485886e-06,0.00017810493607935623,0.0002763,83.25933226028924,30,25
95,32.4655948,1,2,0.0003272868483509538,0.00034420000000000007,685.678276695644,3.880785384922062e-06,0.00017810493607935623,0.0002743,50.813791075162335,9,26
96,32.4656783,3,4,0.0002374732481058083,9.44e-05,203.77735273763443,3.7111880801825374e-06,0.00017810493607935623,7.6e-05,23.66816525975195,3,27
97,32.465714,6,7,0.00033033137717282314,5.56e-05,268.4065313466681,4.080311625792091e-06,0.00017810493607935623,5.8e-06,23.588703063549286,3,28
98,32.465863,4,5,0.00019637210901057227,1.9000000000000002e-06,172.72689070148618,3.930666945139569e-06,0.00017810493607935623,9.000000000000001e-07,21.737629680743883,1,29
100,32.503993799999996,2,3,0.00019180531577776827,1.4000000000000001e-06,66.6019327264034,4.080311625792091e-06,0.00017810493607935623,1e-06,12.23626485663353,0,30
126,47.091886099999996,3,4,0.09976159817060352,0.0033176000000000004,35289008.27330283,3.621401271791025e-06,0.00017810493607935623,1.34e-05,13845.173999756285,138,31
127,47.0918961,4,5,0.09976159817060352,0.0043602,23433470.12504371,3.6413538958780273e-06,0.00017810493607935623,8.45e-05,11152.439470395118,153,32
128,47.0918995,2,3,0.050490465981881096,0.003168,8881074.414648399,3.7111880801825374e-06,0.00017810493607935623,0.0001184,7128.834326877182,116,33
129,47.0918996,1,2,0.08535641004992875,0.0054079,23974588.99022543,3.671282832008532e-06,0.00017810493607935623,0.0001185,12654.56116431298,159,34
130,47.0918998,5,6,0.07900247839868745,0.0044082,19828931.59446114,3.6812591440520326e-06,0.00017810493607935623,0.0001177,11252.00286216133,175,35
131,47.09191,8,9,0.04574709007740867,0.0036525,17698067.44139532,3.7311407042695407e-06,0.00017810493607935623,0.000285,11384.92454478399,134,36
132,47.091910299999995,6,7,0.029334035198711066,0.0028281000000000005,4345791.009821885,3.820927512661053e-06,0.00017810493607935623,0.00017920000000000002,5936.626158452643,103,37
133,47.0919111,7,8,0.028717518112282528,0.0037256000000000004,6584615.515752813,3.6812591440520326e-06,0.00017810493607935623,0.0003601,8073.622181461059,158,38
134,47.0967917,4,5,0.0001902830513668336,2.9e-06,195.74998700787015,3.6413538958780273e-06,0.00017810493607935623,1.4000000000000001e-06,24.295947055038912,0,39
137,47.6500068,1,2,0.0003714325162680592,0.0001563,757.9165040992499,3.671282832008532e-06,0.00017810493607935623,2.64e-05,46.74873650160679,7,40
138,47.6501514,5,6,0.0001902830513668336,2.4000000000000003e-06,107.7095199088532,3.671282832008532e-06,0.00017810493607935623,6.000000000000001e-07,16.228859649743733,0,41
139,47.6502163,7,8,0.00020398343106524562,3.3e-05,148.4973212667047,3.6912354560955345e-06,0.00017810493607935623,1.7400000000000003e-05,17.6847532215489,1,42
155,51.5501887,3,4,0.09976159817060352,0.0030757000000000002,42307427.61841407,3.6513302079215287e-06,0.00017810493607935623,1.9600000000000002e-05,12813.013045881124,134,43
156,51.550195599999995,4,5,0.06769357608985378,0.0034065,11555087.515620576,3.6812591440520326e-06,0.00017810493607935623,0.0001137,7864.684708999772,116,44
157,51.550197499999996,2,3,0.04918436311729915,0.0029627000000000004,9973070.467474362,3.7012117681390364e-06,0.00017810493607935623,5.55e-05,7509.980078888303,126,45
158,51.5502038,5,6,0.04170700033078806,0.0046883,15435581.670488013,3.66130651996503e-06,0.00017810493607935623,0.0001469,10766.739103613148,180,46
159,51.5502043,1,2,0.04145125990975103,0.0043701,6489721.010298056,3.6812591440520326e-06,0.00017810493607935623,0.0001429,7028.3112996993605,166,47
160,51.5502082,6,7,0.043824470126398174,0.0029075,5936970.032701926,3.8109512006175523e-06,0.00017810493607935623,0.0001635,6344.115607448531,109,48
161,51.5502092,8,9,0.023092751113878925,0.0032148000000000003,4412216.271725109,3.751093328356543e-06,0.00017810493607935623,0.00037020000000000005,5942.062468703198,129,49
162,51.5502153,7,8,0.022594970651503288,0.0032528,3593478.756562532,3.6912354560955345e-06,0.00017810493607935623,0.00041490000000000006,5799.35445338039,130,50
163,51.5539601,7,8,0.00019789437342150693,3.8900000000000004e-05,178.58221549565278,3.6912354560955345e-06,0.00017810493607935623,3.58e-05,20.537476510510512,1,51
316,130.2081363,3,4,0.09976159817060352,0.0032579,25814480.90317121,3.6413538958780273e-06,0.00017810493607935623,3.8e-05,11567.377054133925,133,52
317,130.20813909999998,5,6,0.09976159817060352,0.0050601000000000005,49069607.605044045,3.66130651996503e-06,0.00017810493607935623,7.810000000000001e-05,16069.618321912167,188,53
318,130.20814099999998,4,5,0.09212591988535522,0.004089300000000001,29827541.39402234,3.6413538958780273e-06,0.00017810493607935623,8.480000000000001e-05,11785.608863475194,133,54
319,130.2081443,1,2,0.07778010007670691,0.0040384,13117125.095876623,3.7111880801825374e-06,0.00017810493607935623,0.00011410000000000001,8988.890286834934,136,55
320,130.2081499,2,3,0.04153193992353057,0.0033231000000000003,8471072.661326766,3.7012117681390364e-06,0.00017810493607935623,0.00015810000000000002,8894.427089362927,131,56
321,130.2081503,7,8,0.04039024161532957,0.0036526,14607876.478380207,3.6812591440520326e-06,0.00017810493607935623,0.0001391,10877.608656751703,132,57
322,130.20815439999998,8,9,0.039184608201869316,0.0031982000000000004,10352583.922588883,3.7311407042695407e-06,0.00017810493607935623,0.0002703,8448.143039260034,122,58
323,130.20815779999998,6,7,0.024960569546095764,0.0030803000000000002,5804863.090837781,3.8009748885740504e-06,0.00017810493607935623,0.00017710000000000002,6841.099583257315,117,59
332,136.70842199999998,3,4,0.09976159817060352,0.0031414,22797156.027447015,3.6114249597475234e-06,0.00017810493607935623,3.25e-05,9963.529135339419,135,60
333,136.7084253,4,5,0.09708850186500224,0.0033435,15326967.232702613,3.671282832008532e-06,0.00017810493607935623,7.680000000000001e-05,8376.828001564583,114,61
334,136.7084286,5,6,0.07623195717078635,0.0032887000000000003,16231522.606713276,3.671282832008532e-06,0.00017810493607935623,8.35e-05,10960.069104709939,125,62
335,136.7084337,1,2,0.046826375544761344,0.0049109,9771800.412086278,3.7012117681390364e-06,0.00017810493607935623,0.00010290000000000001,8962.468649918259,161,63
336,136.7084341,2,3,0.03533632377102647,0.0028273,5006622.906027407,3.7111880801825374e-06,0.00017810493607935623,0.0001049,5311.996059162193,122,64
337,136.7084392,8,9,0.017047839138057356,0.0031794,4530850.057291399,3.751093328356543e-06,0.00017810493607935623,0.0004158,6657.940743274466,123,65
338,136.7084404,7,8,0.022782209174048253,0.0030759,4654019.315710682,3.6812591440520326e-06,0.00017810493607935623,0.0002992,5851.340387962757,108,66
339,136.7084408,6,7,0.025650155324249167,0.0030115,2644019.6955211246,3.8009748885740504e-06,0.00017810493607935623,0.0001674,4982.38808712497,102,67
359,145.17264079999998,4,5,0.09956674832600389,0.003353,18904789.15887223,3.6413538958780273e-06,0.00017810493607935623,6.54e-05,8412.07755358123,115,68
360,145.172641,3,4,0.09976159817060352,0.0033785,20388959.64312316,3.631377583834526e-06,0.00017810493607935623,6.94e-05,9916.331026417907,126,69
361,145.1726492,2,3,0.04728762166127455,0.0031528000000000003,7259680.453157905,3.7012117681390364e-06,0.00017810493607935623,9.49e-05,6428.806477051904,123,70
362,145.1726495,5,6,0.05950683808784714,0.0033442000000000003,32311086.566729482,3.671282832008532e-06,0.00017810493607935623,0.00011460000000000001,15474.284198980342,132,71
363,145.1726546,8,9,0.03689360026341264,0.0040417000000000005,16354349.867448043,3.7311407042695407e-06,0.00017810493607935623,0.00038930000000000003,10478.071516433261,135,72
364,145.1726549,6,7,0.03107246115599846,0.0028773,4214447.498867137,3.8109512006175523e-06,0.00017810493607935623,8.310000000000001e-05,5466.350005248007,103,73
365,145.1726553,1,2,0.061350300289489026,0.005808300000000001,21983804.771894187,3.7012117681390364e-06,0.00017810493607935623,0.00029240000000000006,13331.035932059214,202,74
366,145.1726612,7,8,0.02646913357733202,0.0034545,6697684.891158374,3.7012117681390364e-06,0.00017810493607935623,0.0004224,6961.750597850274,119,75
369,145.5803023,1,2,0.00030597514659786844,4.240000000000001e-05,268.5165562086386,3.7211643922260393e-06,0.00017810493607935623,2.68e-05,22.757546758440938,2,76
370,145.58114949999998,1,2,0.0005221366929505914,0.00011630000000000001,910.5290518165897,3.7211643922260393e-06,0.00017810493607935623,2.5e-05,45.904184270701826,5,77
372,145.6103193,1,2,0.00022681739722926566,0.0001272,221.11762321204816,7.382470912191069e-06,0.00017810493607935623,1.53e-05,23.402073460973675,1,78
427,171.21581809999998,5,6,0.09976159817060352,0.004133100000000001,29886051.984944988,3.671282832008532e-06,0.00017810493607935623,6.390000000000001e-05,13503.05179740215,171,79
428,171.2158215,4,5,0.05508465997408192,0.0034139,14296859.09581617,3.66130651996503e-06,0.00017810493607935623,0.00010640000000000001,8321.652923284046,101,80
429,171.2158221,3,4,0.06303849152121557,0.0026747000000000003,9132135.484052693,3.621401271791025e-06,0.00017810493607935623,8.14e-05,6328.41071116915,127,81
430,171.2158288,1,2,0.04990287191926031,0.0053915,12263108.721043544,3.671282832008532e-06,0.00017810493607935623,0.0001035,9366.487336321386,162,82
431,171.2158297,7,8,0.02199519847359503,0.0033338,3139335.090350907,3.6912354560955345e-06,0.00017810493607935623,0.000151,5309.452355525131,125,83
432,171.21583389999998,8,9,0.03670179494763487,0.004180400000000001,8315899.321745606,3.7311407042695407e-06,0.00017810493607935623,0.0001652,7665.695538159627,144,84
433,171.21583479999998,2,3,0.029198553666137883,0.0025375,3484817.9997006147,3.6912354560955345e-06,0.00017810493607935623,0.00014480000000000002,4975.841132844733,116,85
434,171.2158379,6,7,0.010549292367777255,0.003155,1110566.361121769,3.8109512006175523e-06,0.00017810493607935623,0.0003777,3271.5201171412823,102,86
455,181.0052628,4,5,0.09976159817060352,0.004321900000000001,29118558.828988243,3.66130651996503e-06,0.00017810493607935623,6.64e-05,12000.72307554016,131,87
456,181.0052657,3,4,0.09976159817060352,0.0029567000000000005,21072257.916507285,3.631377583834526e-06,0.00017810493607935623,4.740000000000001e-05,10563.978370755538,121,88
457,181.0052658,5,6,0.09976159817060352,0.005297100000000001,34175709.88483347,3.671282832008532e-06,0.00017810493607935623,7.44e-05,15022.874989448806,191,89
458,181.0052761,1,2,0.03921200896126613,0.0067051,11171646.31048796,3.6812591440520326e-06,0.00017810493607935623,0.00012,10988.473338644515,230,90
459,181.0052761,8,9,0.05281496373737833,0.004650400000000001,15620918.722883571,3.7311407042695407e-06,0.00017810493607935623,0.0002678,10470.294572602608,161,91
460,181.0052762,2,3,0.041352312723040276,0.0031657000000000005,6649654.706876285,3.6912354560955345e-06,0.00017810493607935623,0.0001554,6251.561938308261,111,92
461,181.0052773,7,8,0.024089834303041135,0.0038028000000000003,4567657.777210369,3.6912354560955345e-06,0.00017810493607935623,0.0002305,6561.4511075728615,138,93
462,181.00527879999999,6,7,0.01929165687977506,0.0030696000000000005,3137759.7899707663,3.8109512006175523e-06,0.00017810493607935623,0.0001619,5833.258323760194,108,94
465,181.518856,2,3,0.018321974450009677,0.0013258000000000002,602594.8599025417,3.6912354560955345e-06,0.00017810493607935623,5.58e-05,1328.8953240074857,102,95
466,181.51887159999998,3,4,0.00473728684682869,0.001319,71955.35654230081,3.621401271791025e-06,0.00017810493607935623,0.0001301,609.89458091417,95,96
467,181.51887879999998,4,5,0.0035468760774777786,0.0015537,66666.51055389742,3.6513302079215287e-06,0.00017810493607935623,2.5e-05,722.4934262919248,95,97
468,181.5188801,6,7,0.004696185707733454,0.0013843000000000002,75914.04773910342,3.7909985765305485e-06,0.00017810493607935623,0.0001251,612.7247746915646,59,98
469,181.51888739999998,8,9,0.005225933722738718,0.0014738000000000002,90170.6655888764,3.751093328356543e-06,0.00017810493607935623,0.0002245,692.7690847606655,93,99
470,181.5188875,1,2,0.0038376285799663003,0.0016423000000000002,69598.70742128197,3.7012117681390364e-06,0.00017810493607935623,0.0002105,703.0279282980027,86,100
471,181.5188915,5,6,0.001761259923451412,0.0013669,26773.897426669966,3.66130651996503e-06,0.00017810493607935623,0.00034020000000000003,445.29031597107183,75,101
472,181.5189054,7,8,0.0011797549184743685,0.0021703,27557.03863661353,3.671282832008532e-06,0.00017810493607935623,0.00044390000000000006,623.2807642192996,109,102
475,181.74194219999998,2,3,0.005699357954539399,0.0018452,78579.1743164304,3.7012117681390364e-06,0.00017810493607935623,9.97e-05,675.2618275559217,62,103
476,181.7419579,3,4,0.0017688712455060853,0.0014052000000000001,18200.241109286693,3.6812591440520326e-06,0.00017810493607935623,0.0001728,375.8701928701251,39,104
477,181.7419587,4,5,0.004796655158855141,0.0015673000000000002,121817.74749609207,3.751093328356543e-06,0.00017810493607935623,0.00017470000000000002,796.3512542658603,52,105
478,181.7419746,5,6,0.0026365619597388465,0.0014763000000000003,37776.8611705502,3.761069640400045e-06,0.00017810493607935623,0.0002274,517.7841951366244,46,106
479,181.7419981,7,8,0.003982243699005094,0.0019171000000000001,71726.08660515855,3.761069640400045e-06,0.00017810493607935623,0.00038740000000000004,696.422519068834,49,107
480,181.74202069999998,6,7,0.0029531929572132578,0.001472,67710.35080797403,3.850856448791558e-06,0.00017810493607935623,3.9300000000000007e-05,703.9729499723824,41,108
481,181.7420422,8,9,0.0025665377968358515,0.0013396,56289.35265272605,3.8109512006175523e-06,0.00017810493607935623,0.000103,613.7379938063633,46,109
482,181.7421397,1,2,0.0023442871928393903,0.0014042,55044.55120038222,3.8109512006175523e-06,0.00017810493607935623,0.00016620000000000003,627.1631470774466,43,110
490,187.8398178,4,5,0.09976159817060352,0.0040061,31279123.54303374,3.66130651996503e-06,0.00017810493607935623,1.88e-05,10839.729849844613,126,111
491,187.83982569999998,3,4,0.08325111836960611,0.0031355,16308214.848158505,3.631377583834526e-06,0.00017810493607935623,8.07e-05,9060.906783917553,119,112
492,187.839826,5,6,0.08352512596357435,0.0037673000000000003,17392998.508223705,3.66130651996503e-06,0.00017810493607935623,0.00010830000000000002,10015.904769581324,151,113
493,187.83983179999998,8,9,0.019544352771990212,0.0030304,4857545.337923855,3.7311407042695407e-06,0.00017810493607935623,0.00045390000000000003,6640.716018322887,124,114
494,187.839832,2,3,0.041853137714237786,0.0030132,6317326.722807784,3.6912354560955345e-06,0.00017810493607935623,0.0001054,6119.765513452517,119,115
495,187.8398334,6,7,0.0260246323693391,0.0027789,2408437.07571297,3.8009748885740504e-06,0.00017810493607935623,7.03e-05,4764.701857307055,106,116
496,187.8398384,7,8,0.021351280627769666,0.0033404,3935106.2444031104,3.6912354560955345e-06,0.00017810493607935623,0.00041220000000000004,6066.688419823444,134,117
497,187.8398387,1,2,0.04444098721282672,0.0058089000000000005,20474045.832004566,3.7012117681390364e-06,0.00017810493607935623,0.0001432,12323.239731585227,196,118
499,187.8430947,6,7,0.00021007248870898428,4.26e-05,211.94329232472464,3.8009748885740504e-06,0.00017810493607935623,2.0600000000000003e-05,22.805041404447127,1,119
500,187.8436439,7,8,0.00020855022429804962,2.0600000000000003e-05,158.81324120207248,3.6912354560955345e-06,0.00017810493607935623,3.5e-06,19.46519354106304,1,120
536,202.2301563,5,6,0.09976159817060352,0.004748,103119474.18448673,3.671282832008532e-06,0.00017810493607935623,1.1100000000000002e-05,22001.33213348462,239,121
537,202.2301674,7,8,0.04047244389352004,0.0039505,8967106.878889937,3.7012117681390364e-06,0.00017810493607935623,0.0001095,7738.168714530767,138,122
538,202.2301679,4,5,0.07731580943137183,0.0033301000000000003,25667961.514883786,3.631377583834526e-06,0.00017810493607935623,0.0001794,11891.548715920595,122,123
539,202.2301703,3,4,0.06356062821416615,0.002916,9596660.2955703,3.6114249597475234e-06,0.00017810493607935623,9.04e-05,7525.061455712423,131,124
540,202.2301743,1,2,0.05846865375958969,0.0064219,14690287.98678153,3.671282832008532e-06,0.00017810493607935623,0.00010880000000000002,11122.963562396815,225,125
541,202.23017829999998,8,9,0.05328077664712434,0.0043563000000000004,11753688.339308262,3.7311407042695407e-06,0.00017810493607935623,0.00015780000000000001,8751.446284278443,181,126
542,202.2301832,2,3,0.027782847763968638,0.0030395,2686384.3757961,3.7111880801825374e-06,0.00017810493607935623,0.00016510000000000003,4668.212221605451,125,127
543,202.23018499999998,6,7,0.025866316870601893,0.0030779,2306970.29788058,3.8009748885740504e-06,0.00017810493607935623,0.00013570000000000002,4331.005106207238,108,128
